name,address,phone,email,lat,lng,url,country,state,city,star_count,rating_count,zip,primary_category_name,category_name
"The Heart Of Europe - Dubai","The World Islands - Dubai - United Arab Emirates","+971 4 818 1481","sales@thoe.com",25.2316064,55.1615204,"https://thoe.com/","United Arab Emirates","Dubai","Dubai",4.2,451,"","Tourist attractions","Tourist attractions"
"Al Jiyad Stables","R6FQ+H5R - Al Qudra Rd - Dubai - United Arab Emirates","+971 50 599 5866","info@aljiyadstables.com",24.823718,55.2376964,"http://www.aljiyadstables.com/","United Arab Emirates","Dubai","Dubai",4.6,490,"","Tourist attractions","Tourist attractions"
"Dubai Marina Cruise","Marina Plaza - offcie no 2192 - Dubai Marina - Dubai - United Arab Emirates","+971 56 324 1343","info@dubaidunebuggytours.com",25.0753976,55.1398252,"http://dubaidunebuggytours.com/dhow-cruise-Marina21.html","United Arab Emirates","Dubai","Dubai",4.5,27,"","Tourist attractions","Boat tour agencies,Cruise line companies,Tourist attractions"
"Dubai Butterfly Garden","Al Barsha South 3, Dubailand Area, Beside Dubai Miracle Garden - Dubai - United Arab Emirates","+971 4 422 8902","support@the-miracle-garden.com",25.0618046,55.2465608,"http://www.dubaibutterflygarden.com/","United Arab Emirates","Dubai","Dubai",4.4,8812,"","Tourist attractions","Tourist attractions,Gardens"
"Sky Walker Yacht Tours","Dubai International Marine Club - Dubai - United Arab Emirates","+971 4 548 3302","charter@skywalker.ae",25.0921883,55.1421092,"http://www.skywalker.ae/","United Arab Emirates","Dubai","Dubai",4.8,40,"","Tourist attractions","Tourist attractions"
"Hatta Outdoor","Wadi Hub at Hatta Resorts by Dubai Holdings - Wadi Hub - Sufayri - Fujairah - Dubai - United Arab Emirates","+971 50 136 0085","info@hattaoutdoor.com",24.8150069,56.1609184,"https://hattaoutdoor.com/","United Arab Emirates","Dubai","Dubai",4.8,17,"","Tourist attractions","Tourist attractions,Recreation centers,Sports complexes,Water parks,Adventure sports,Cycling parks,Archery ranges"
"Dancing Fountain","Global Village - Dubai - United Arab Emirates","+971 4 362 4114","info@globalvillage.ae",25.0697996,55.3076218,"https://www.globalvillage.ae/","United Arab Emirates","Dubai","Dubai",4.5,1481,"","Tourist attractions","Tourist attractions"
"Riverland Dubai","Sheikh Zayed Rd - Dubai - United Arab Emirates","+971 800 2629464","info@riverlanddubai.com",24.9207145,55.0082055,"https://www.riverlanddubai.com/en","United Arab Emirates","Dubai","Dubai",4.5,12557,"","Tourist attractions","Parks,Theme parks,Tourist attractions,Entertainers"
"Dubai Tour Booking","Al Habtoor Alkhabaisi - Dubai - United Arab Emirates","+971 55 738 2677","admin@dubaimorningdesertsafari.com",25.1824158,55.2546094,"https://www.dubaitourbooking.com/","United Arab Emirates","Dubai","Dubai",0,0,"","Tourist attractions","Tourist attractions"
"Dubai Dune Buggy By Desert Safari Fun Trip","Falcon Tower - Sheikh Zayed Rd - Business Bay - Dubai - United Arab Emirates","+971 52 317 3547","info@desertsafarifuntrip.com",25.1934839,55.2632585,"http://www.desertsafarifuntrip.com/","United Arab Emirates","Dubai","Dubai",5,1,"","Tourist attractions","Adventure sports,Tourist attractions"
"Al Fahidi Historical Neighbourhood","Al Fahidi - Dubai - United Arab Emirates","+971 800 33222","info@dubaiculture.ae",25.2642363,55.3002643,"https://dubaiculture.gov.ae/ar/attractions/heritage-sites/al-fahidi-historical-neighbourhood","United Arab Emirates","Dubai","Dubai",4.5,12663,"","Tourist attractions","Historical landmarks,Cultural centers,Tourist attractions"
